mill,min
-93139,1.552316667
-96947,1.615783333
-100638,1.6773
-105595,1.759916667
-100376,1.672933333
-102895,1.714916667
-108297,1.80495
-121424,2.023733333
-114187,1.903116667
-115773,1.92955
-106461,1.77435
-135793,2.263216667
-117355,1.955916667
-123546,2.0591
-188561,3.142683333
-112209,1.87015
-117988,1.966466667
-132765,2.21275
-877961,3.00485
-95052,1.5842
-115375,1.922916667
-130473,2.17455
-115897,1.931616667
-116460,1.941
-109970,1.832833333
-111717,1.86195
-118120,1.968666667
-112309,1.871816667
-114354,1.9059
-122457,2.04095
-1383239,1.905033333
-106147,1.769116667
-116064,1.9344
-112228,1.870466667
-112104,1.8684
-112962,1.8827
-113389,1.889816667
-112911,1.88185
-114183,1.90305
-118011,1.96685
-110366,1.839433333
-115999,1.933316667
-110317,1.838616667
-3387475,2.359741667
-172852,2.880866667
-195763,3.262716667
-187396,3.123266667
-133084,2.218066667
-133517,2.225283333
-137959,2.299316667
